EPL-IN,GC,M/TC,OSs,PGC,Genes
0.0,0.0006829519461342001,0.0,0.0,0.0,Chodl
0.2830750002732919,0.1119973835410958,0.2148028149955869,0.015410773664166664,0.13358184300945067,Chpf
0.18596262642236025,0.07902611723264454,0.16939091955692853,0.0057837144925000005,0.04559296724040166,Chpf2
0.15587307608074535,0.18041326058938897,0.02871476504501324,0.01596294941833333,0.0537940133266391,Chrm1
0.09478052958385094,0.1987564556686789,0.03616848455163284,0.024692902880833336,0.13342277617070292,Chrm2
0.0,0.0,0.0,0.0,0.0019916620933254576,Chrm4
0.01003244049689441,0.050342754907476195,0.013778578158870257,0.0044328269475,0.0007362952793857059,Chrna10
0.2779839827577639,0.001552089358021825,0.003526219865842895,0.0,0.0010381530655640874,Chrna2
0.06611300470807453,0.0009672929023682378,0.09636685900617828,0.0,0.0019097870448907268,Chrna3
0.03755759021739131,0.0007862714957046668,0.011426939422771403,0.0,0.001096953471943296,Chrna4
0.014820870608695653,0.0,0.0,0.0,0.0,Chrna5
0.0,0.0008219560364522868,0.0,0.0,0.0,Chrna7
0.0,0.001075361868934293,0.001512225304501324,0.0,0.002646012994093325,Chrnb1
0.12273794297515526,0.04045950722637567,0.19505736706354804,0.010100137783333333,0.058091998881866495,Chrnb2
0.0,0.0,0.0024479494448367166,0.0,0.0,Chst13
0.008125928223602485,0.008180656996517299,0.24080755045189756,0.0,0.01308173764914353,Chst15
0.018005074739130433,0.0017780402429765497,0.0022297677440423656,0.0,0.0,Chst7
0.01809642260869565,0.0033135502569073606,0.29264365993909985,0.00649563114,0.0068202156202008275,Chst8
0.017114368621118013,0.0013889231104016718,0.009864676660194175,0.0,0.007624514660956881,Chst9
0.0,0.005186057557580684,0.014721799948808475,0.13499768908750004,0.01092782771470762,Chtf18
0.07214277328571429,0.0906982041163223,0.08206039703000882,0.0214845950975,0.223334890927348,Ciapin1
0.03449999157142857,0.007238919479916417,0.03380449600794352,0.02786265790333333,0.028874198041937388,Cidea
0.04393007785093168,0.012500846789528671,0.017078939541041484,0.006835028668333332,0.037582310584170116,Cited1
0.2336371947950311,0.4059481180006965,0.15336869970609,0.06944677368166667,0.8614118532575318,Cited2
0.0,0.007137431538657998,0.016527634929391,0.0018345855491666667,0.056150215923803926,Cited4
0.0,0.0006053523416531228,0.005656376122683143,0.0,0.0011823725971647962,Ckap2
0.0,0.0005576558970280938,0.0,0.0,0.0022698484778499706,Ckap2l
0.21957628344720498,0.06130314365428371,0.10167177675110324,0.0009692235966666667,0.09076923086473715,Ckap4
0.0,0.00464545570234502,0.0054989185048543695,0.0,0.010565240857058476,Cklf
0.0,0.015248134195263524,0.006973418290379523,0.0,0.008421565846426463,Clcn1
0.06286934395652173,0.014567835494543765,0.07284560968667256,0.0020550432074999997,0.03202602555345541,Clcn5
0.22960963969565218,0.06366272821720453,0.21292287429655785,0.014806673015000002,0.0762987901033668,Clcn6
0.0,0.0018596117019967495,0.0012761752656663724,0.0,0.0,Cldn20
0.0,0.0011097139042256792,0.0,0.0,0.0,Cldn3
0.0,0.0001575038822846529,0.00156402026831421,0.005145300074166667,0.0,Cldn9
